CH1 (DAC OUTPUT),,,,
,,,1.316,0.2
,,,1.32,0.2
,,,1.324,0.2
,,,1.328,0.24
,,,1.332,0.2
,,,1.336,0.2
,,,1.34,0.2
,,,1.344,0.24
,,,1.348,0.2
,,,1.352,0.2
,,,1.356,0.2
,,,1.36,0.24
,,,1.364,0.2
,,,1.368,0.2
,,,1.372,0.2
,,,1.376,0.24
,,,1.38,0.24
,,,1.384,0.24
,,,1.388,0.24
,,,1.392,0.28
,,,1.396,0.24
,,,1.4,0.28
,,,1.404,0.24
,,,1.408,0.28
,,,1.412,0.24
,,,1.416,0.28
,,,1.42,0.28
,,,1.424,0.28
,,,1.428,0.28
,,,1.432,0.24
,,,1.436,0.28
,,,1.44,0.28
,,,1.444,0.28
,,,1.448,0.28
,,,1.452,0.28
,,,1.456,0.32
,,,1.46,0.32
,,,1.464,0.32
,,,1.468,0.28
,,,1.472,0.32
,,,1.476,0.28
,,,1.48,0.32
,,,1.484,0.32
,,,1.488,0.28
,,,1.492,0.32
,,,1.496,0.32
,,,1.5,0.32
,,,1.504,0.36
,,,1.508,0.32
,,,1.512,0.32
,,,1.516,0.36
,,,1.52,0.36
,,,1.524,0.36
,,,1.528,0.36
,,,1.532,0.36
,,,1.536,0.32
,,,1.54,0.36
,,,1.544,0.36
,,,1.548,0.36
,,,1.552,0.36
,,,1.556,0.36
,,,1.56,0.4
,,,1.564,0.4
,,,1.568,0.36
,,,1.572,0.32
,,,1.576,0.4
,,,1.58,0.36
,,,1.584,0.4
,,,1.588,0.4
,,,1.592,0.36
,,,1.596,0.36
,,,1.6,0.4
,,,1.604,0.44
,,,1.608,0.4
,,,1.612,0.4
,,,1.616,0.4
,,,1.62,0.4
,,,1.624,0.44
,,,1.628,0.4
,,,1.632,0.4
,,,1.636,0.44
,,,1.64,0.44
,,,1.644,0.44
,,,1.648,0.44
,,,1.652,0.44
,,,1.656,0.4
,,,1.66,0.44
,,,1.664,0.44
,,,1.668,0.44
,,,1.672,0.44
,,,1.676,0.44
,,,1.68,0.44
,,,1.684,0.44
,,,1.688,0.44
,,,1.692,0.44
,,,1.696,0.44
,,,1.7,0.44
,,,1.704,0.48
,,,1.708,0.48
,,,1.712,0.48
,,,1.716,0.44
,,,1.72,0.44
,,,1.724,0.48
,,,1.728,0.48
,,,1.732,0.48
,,,1.736,0.52
,,,1.74,0.52
,,,1.744,0.52
,,,1.748,0.52
,,,1.752,0.48
,,,1.756,0.48
,,,1.76,0.48
,,,1.764,0.48
,,,1.768,0.48
,,,1.772,0.52
,,,1.776,0.52
,,,1.78,0.52
,,,1.784,0.48
,,,1.788,0.52
,,,1.792,0.48
,,,1.796,0.52
,,,1.8,0.48
,,,1.804,0.52
,,,1.808,0.52
,,,1.812,0.52
,,,1.816,0.56
,,,1.82,0.52
,,,1.824,0.52
,,,1.828,0.48
,,,1.832,0.56
,,,1.836,0.56
,,,1.84,0.56
,,,1.844,0.56
,,,1.848,0.56
,,,1.852,0.52
,,,1.856,0.56
,,,1.86,0.56
,,,1.864,0.52
,,,1.868,0.56
,,,1.872,0.6
,,,1.876,0.52
,,,1.88,0.6
,,,1.884,0.56
,,,1.888,0.56
,,,1.892,0.56
,,,1.896,0.6
,,,1.9,0.6
