dac_bin,load,current_mA,shunt_volts,dac_volts,sample_index,load_resistance_ohm,load_voltage_V,samples_in_bin,previous_slope_mA_per_V,next_slope_mA_per_V,local_slope_mA_per_V,reference_slope_mA_per_V,slope_threshold_mA_per_V,inside_common_voltage_limit,inside_linear_slope_region,compliance_candidate,compliance_run_id,compliance_run_points,max_compliance_run_points,in_common_compliance_region,row_index,fitted_mA,residual_mA,studentized_residual,leverage,cook_distance,influential_by_cook,outlier_by_studentized_residual,flagged
0.34,1k,37.31440972222222,0.37314409722222225,0.3398369565217391,5865,1000,37.31440972222222,207,-44.67003795219635,-11.960691473559192,-28.315364712877773,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,32,36.81766359043182,0.4967461317904038,1.2800947675599998,0.0070429815573446386,0.005804821337311468,FALSE,FALSE,FALSE
0.35,1k,37.19480280748663,0.3719480280748663,0.3495872326203209,6054,1000,37.19480280748663,187,-11.960691473559192,-48.06589272782982,-30.013292100694507,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,33,36.53733206666326,0.6574707408233676,1.6960630310498699,0.006962262465023653,0.010050692000425765,TRUE,FALSE,TRUE
0.36,1k,36.71414388020833,0.36714143880208333,0.35968505859375,6248,1000,36.71414388020833,192,-48.06589272782982,-17.212999131944414,-32.63944592988712,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,34,36.257000542894716,0.45714333731361717,1.177681993109494,0.006882165591075638,0.004802336225413165,FALSE,FALSE,FALSE
0.37,1k,36.54201388888889,0.3654201388888889,0.37014081790123454,6420,1000,36.54201388888889,162,-17.212999131944414,-29.25315846720193,-23.23307879957317,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,35,35.976669019126156,0.5653448697627352,1.4573203706427633,0.00680269093550059,0.007258732649850404,TRUE,FALSE,TRUE
0.38,1k,36.24948230421687,0.3624948230421687,0.38029367469879516,6588,1000,36.24948230421687,166,-29.25315846720193,-26.799922410637553,-28.026540438919742,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,36,35.6963374953576,0.5531448088592709,1.425700002104621,0.0067238384982985155,0.006867191342298154,FALSE,FALSE,FALSE
0.39,1k,35.98148308011049,0.359814830801105,0.38993525552486186,6760,1000,35.98148308011049,181,-26.799922410637553,-40.01705801104901,-33.40849021084328,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,37,35.416005971589044,0.5654771085214503,1.457546843891498,0.0066456082794694084,0.007092193588535976,TRUE,FALSE,TRUE
0.4,1k,35.5813125,0.355813125,0.3997232142857143,6938,1000,35.5813125,175,-40.01705801104901,-21.186206896552406,-30.601632453800708,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,38,35.13567444782049,0.445638052179508,1.1477901116319829,0.0065680002790132735,0.004352568605535313,FALSE,FALSE,FALSE
0.41,1k,35.36945043103448,0.3536945043103448,0.41014331896551726,7105,1000,35.36945043103448,145,-21.186206896552406,-17.12104885057427,-19.153627873563337,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,39,34.85534292405194,0.5141075069825402,1.3246022185124862,0.006491014496930106,0.0057240193015784,FALSE,FALSE,FALSE
0.42,1k,35.19823994252874,0.35198239942528736,0.41955280172413795,7253,1000,35.19823994252874,174,-17.12104885057427,-33.570008283486146,-25.345528567030208,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,40,34.57501140028338,0.6232285422453596,1.6068676178980283,0.0064146509332199085,0.008311541120540384,TRUE,FALSE,TRUE
0.43,1k,34.862539859693875,0.34862539859693875,0.4301777742346939,7443,1000,34.862539859693875,196,-33.570008283486146,-30.067906423933238,-31.818957353709692,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,41,34.29467987651482,0.5678599831790532,1.463485383547295,0.006338909587882681,0.006817807547239504,FALSE,FALSE,FALSE
